index,pokedex_number,name,generation,status,fully_evolved,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,growth_rate,egg_type_number,egg_type_1,egg_type_2
0,1,Bulbasaur,1,Normal,0,Seed Pokémon,2,Grass,Poison,0.7,6.9,2,Overgrow,,Chlorophyll,318,45,49,49,65,65,45,Medium Slow,2,Grass,Monster
1,2,Ivysaur,1,Normal,0,Seed Pokémon,2,Grass,Poison,1,13,2,Overgrow,,Chlorophyll,405,60,62,63,80,80,60,Medium Slow,2,Grass,Monster
2,3,Venusaur,1,Normal,1,Seed Pokémon,2,Grass,Poison,2,100,2,Overgrow,,Chlorophyll,525,80,82,83,100,100,80,Medium Slow,2,Grass,Monster
3,3,Mega Venusaur,1,Normal,1,Seed Pokémon,2,Grass,Poison,2.4,155.5,1,Thick Fat,,,625,80,100,123,122,120,80,Medium Slow,2,Grass,Monster
4,4,Charmander,1,Normal,0,Lizard Pokémon,1,Fire,,0.6,8.5,2,Blaze,,Solar Power,309,39,52,43,60,50,65,Medium Slow,2,Dragon,Monster
5,5,Charmeleon,1,Normal,0,Flame Pokémon,1,Fire,,1.1,19,2,Blaze,,Solar Power,405,58,64,58,80,65,80,Medium Slow,2,Dragon,Monster
6,6,Charizard,1,Normal,1,Flame Pokémon,2,Fire,Flying,1.7,90.5,2,Blaze,,Solar Power,534,78,84,78,109,85,100,Medium Slow,2,Dragon,Monster
7,6,Mega Charizard X,1,Normal,1,Flame Pokémon,2,Fire,Dragon,1.7,110.5,1,Tough Claws,,,634,78,130,111,130,85,100,Medium Slow,2,Dragon,Monster
8,6,Mega Charizard Y,1,Normal,1,Flame Pokémon,2,Fire,Flying,1.7,100.5,1,Drought,,,634,78,104,78,159,115,100,Medium Slow,2,Dragon,Monster
9,7,Squirtle,1,Normal,0,Tiny Turtle Pokémon,1,Water,,0.5,9,2,Torrent,,Rain Dish,314,44,48,65,50,64,43,Medium Slow,2,Monster,Water 1
10,8,Wartortle,1,Normal,0,Turtle Pokémon,1,Water,,1,22.5,2,Torrent,,Rain Dish,405,59,63,80,65,80,58,Medium Slow,2,Monster,Water 1
11,9,Blastoise,1,Normal,1,Shellfish Pokémon,1,Water,,1.6,85.5,2,Torrent,,Rain Dish,530,79,83,100,85,105,78,Medium Slow,2,Monster,Water 1
12,9,Mega Blastoise,1,Normal,1,Shellfish Pokémon,1,Water,,1.6,101.1,1,Mega Launcher,,,630,79,103,120,135,115,78,Medium Slow,2,Monster,Water 1
13,10,Caterpie,1,Normal,0,Worm Pokémon,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195,45,30,35,20,20,45,Medium Fast,1,Bug,
14,11,Metapod,1,Normal,0,Cocoon Pokémon,1,Bug,,0.7,9.9,1,Shed Skin,,,205,50,20,55,25,25,30,Medium Fast,1,Bug,
15,12,Butterfree,1,Normal,1,Butterfly Pokémon,2,Bug,Flying,1.1,32,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,Medium Fast,1,Bug,
16,13,Weedle,1,Normal,0,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,Medium Fast,1,Bug,
17,14,Kakuna,1,Normal,0,Cocoon Pokémon,2,Bug,Poison,0.6,10,1,Shed Skin,,,205,45,25,50,25,25,35,Medium Fast,1,Bug,
18,15,Beedrill,1,Normal,1,Poison Bee Pokémon,2,Bug,Poison,1,29.5,2,Swarm,,Sniper,395,65,90,40,45,80,75,Medium Fast,1,Bug,
19,15,Mega Beedrill,1,Normal,1,Poison Bee Pokémon,2,Bug,Poison,1.4,40.5,1,Adaptability,,,495,65,150,40,15,80,145,Medium Fast,1,Bug,
20,16,Pidgey,1,Normal,0,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,Medium Slow,1,Flying,
21,17,Pidgeotto,1,Normal,0,Bird Pokémon,2,Normal,Flying,1.1,30,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,Medium Slow,1,Flying,
22,18,Pidgeot,1,Normal,1,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,Medium Slow,1,Flying,
23,18,Mega Pidgeot,1,Normal,1,Bird Pokémon,2,Normal,Flying,2.2,50.5,1,No Guard,,,579,83,80,80,135,80,121,Medium Slow,1,Flying,
24,19,Rattata,1,Normal,0,Mouse Pokémon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,Medium Fast,1,Field,
25,19,Alolan Rattata,1,Normal,0,Mouse Pokémon,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,Medium Fast,1,Field,
26,20,Raticate,1,Normal,1,Mouse Pokémon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,Medium Fast,1,Field,
27,20,Alolan Raticate,1,Normal,0,Mouse Pokémon,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,Medium Fast,1,Field,
28,21,Spearow,1,Normal,0,Tiny Bird Pokémon,2,Normal,Flying,0.3,2,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,Medium Fast,1,Flying,
29,22,Fearow,1,Normal,1,Beak Pokémon,2,Normal,Flying,1.2,38,2,Keen Eye,,Sniper,442,65,90,65,61,61,100,Medium Fast,1,Flying,
30,23,Ekans,1,Normal,0,Snake Pokémon,1,Poison,,2,6.9,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,Medium Fast,2,Dragon,Field
31,24,Arbok,1,Normal,1,Cobra Pokémon,1,Poison,,3.5,65,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,Medium Fast,2,Dragon,Field
32,25,Pikachu,1,Normal,0,Mouse Pokémon,1,Electric,,0.4,6,2,Static,,Lightning Rod,320,35,55,40,50,50,90,Medium Fast,2,Fairy,Field
